[ 2013-04-21T14:38:18+08:00 ] /attendance/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000879s ]
[ 2013-04-21T14:38:18+08:00 ] /attendance/index.php | INFO: Tag[ view_template ] --START--
[ 2013-04-21T14:38:18+08:00 ] /attendance/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001010s ]
[ 2013-04-21T14:38:18+08:00 ] /attendance/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001059s ]
[ 2013-04-21T14:38:18+08:00 ] /attendance/index.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-21T14:38:18+08:00 ] /attendance/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.008141s ]
[ 2013-04-21T14:38:18+08:00 ] /attendance/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008218s ]
[ 2013-04-21T14:38:18+08:00 ] /attendance/index.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-21T14:38:18+08:00 ] /attendance/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000643s ]
[ 2013-04-21T14:38:18+08:00 ] /attendance/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000667s ]
[ 2013-04-21T14:38:18+08:00 ] /attendance/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000946s ]
[ 2013-04-21T14:38:18+08:00 ] /attendance/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000759s ]
[ 2013-04-21T14:38:18+08:00 ] /attendance/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003143s ]
[ 2013-04-21T14:38:18+08:00 ] /attendance/index.php | INFO: Tag[ view_end ] --START--
[ 2013-04-21T14:38:18+08:00 ] /attendance/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000753s ]
[ 2013-04-21T14:38:18+08:00 ] /attendance/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000806s ]
[ 2013-04-21T14:38:20+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526300306&start=&end=&page=1&limit=20 | INFO: Tag[ route_check ] --START--
[ 2013-04-21T14:38:20+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526300306&start=&end=&page=1&limit=20 | INFO: Run CheckRoute Behavior [ RunTime:0.001391s ]
[ 2013-04-21T14:38:20+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526300306&start=&end=&page=1&limit=20 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001501s ]
[ 2013-04-21T14:38:20+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526300306&start=&end=&page=1&limit=20 | INFO: Tag[ app_begin ] --START--
